company_name,name,role,linkedin_url,email,source
Krystal Biotech,Krish Krishnan,"Chairman/CEO at Krystal Biotech, Inc. ...",https://www.linkedin.com/in/krish-krishnan-3a0b43115,,serpapi
Krystal Biotech,Suma Krishnan,"Founder & President at Krystal Biotech, Inc.",https://www.linkedin.com/in/suma-krishnan-781130116,,serpapi
Krystal Biotech,David C.,"Krystal Biotech, Inc.",https://www.linkedin.com/in/davidchienmd,,serpapi
Krystal Biotech,Andy Orth,"Krystal Biotech, Inc.",https://www.linkedin.com/in/andy-orth-87822a6,,serpapi
Krystal Biotech,"David Sweet MD, PhD",Director of Clinical Development at ...,https://www.linkedin.com/in/dsweetmdphd,,serpapi
